frame_id,relative_path,reason
5013,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213194800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213194800_12.2_54.2_73.0_135.0.png'
5014,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213195400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213195400_12.2_54.2_73.0_135.0.png'
5015,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213200000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213200000_12.2_54.2_73.0_135.0.png'
5016,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213200600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213200600_12.2_54.2_73.0_135.0.png'
5017,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213201200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213201200_12.2_54.2_73.0_135.0.png'
5018,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213201800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213201800_12.2_54.2_73.0_135.0.png'
5019,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213202400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213202400_12.2_54.2_73.0_135.0.png'
5020,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213203000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213203000_12.2_54.2_73.0_135.0.png'
5021,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213203600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213203600_12.2_54.2_73.0_135.0.png'
5022,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213204200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213204200_12.2_54.2_73.0_135.0.png'
